1,0,0,0
2,1,0,0
3,2,0,0
4,3,0,0
5,0,1,0
6,1,1,0
7,2,1,0
8,3,1,0
9,0,2,0
10,1,2,0
11,2,2,0
12,3,2,0
13,0,3,0
14,1,3,0
15,2,3,0
16,3,3,0
17,20,18,19
18,3,7,13
19,7,12,8
20,6,12,12
21,2,8,10
22,11,12,12
23,1,16,1
24,8,4,3
25,5,8,2
26,0,16,4
27,14,4,1
28,9,7,6
29,1,4,13
30,16,18,11
31,8,0,11
32,4,11,20
33,11,4,14
34,20,1,10
35,4,3,12
36,17,8,17
37,11,2,15
38,8,18,18
39,16,5,5
40,5,9,11
41,12,15,10
42,9,16,6
43,10,4,0
44,19,16,13
45,12,15,1
46,2,4,7
47,20,10,18
48,14,10,2
49,8,11,18
50,10,19,6
51,6,17,5
52,10,12,12
53,1,13,18
54,11,5,16
55,0,8,7
56,12,8,13
57,4,20,16
58,2,16,16
59,3,0,5
60,8,18,4
61,7,12,7
62,6,9,0
63,1,12,4
64,2,18,1
65,18,14,0
66,14,14,1
67,2,15,19
68,3,17,14
69,7,20,19
70,6,2,2
71,14,12,13
72,1,14,16
73,6,10,6
74,20,9,17
75,9,10,4
76,19,0,10
77,1,16,7
78,5,0,18
79,5,8,9
80,7,19,8
81,18,7,3
82,18,13,13
83,2,13,2
84,5,15,8
85,7,4,18
86,11,13,2
87,16,12,6
88,12,9,5
89,12,11,16
90,1,2,15
91,11,6,7
92,16,2,17
93,19,0,6
94,19,12,18
95,1,10,14
96,11,0,5
97,10,14,7
98,0,13,2
99,12,6,7
100,11,16,11
101,7,15,14
102,7,11,15
103,7,0,20
104,12,4,4
105,16,14,0
106,12,13,1
107,12,16,3
108,12,15,8
109,10,3,17
110,18,2,9
111,14,11,16
112,10,20,15
113,3,9,9
114,8,9,15
115,6,16,14
116,8,8,16
117,11,6,13
118,19,8,0
119,10,14,3
120,6,10,18
121,6,4,18
122,4,18,4
123,0,15,10
124,16,20,3
125,6,4,20
126,3,4,17
127,20,20,8
128,4,8,16
129,10,17,9
130,9,14,10
131,4,8,18
132,13,14,11
133,20,0,9
134,12,5,3
135,20,17,10
136,17,16,14
137,0,19,0
138,12,3,9
139,20,2,11
140,19,6,12
141,5,10,14
142,4,15,15
143,11,12,14
144,2,11,9
145,2,10,7
146,6,4,20
147,18,17,17
148,16,14,19
149,11,3,4
150,15,7,18
151,4,0,16
152,2,18,1
153,12,5,17
154,12,11,7
155,2,11,0
156,17,20,1
157,17,17,17
158,17,12,10
159,0,14,12
160,3,11,17
161,2,7,18
162,20,9,20
163,20,19,7
164,12,15,12
165,19,6,11
166,14,16,11
167,17,20,8
168,15,2,2
169,11,20,12
170,10,9,6
171,1,8,15
172,6,13,9
173,17,4,10
174,0,15,7
175,7,5,9
176,10,18,14
177,20,9,19
178,0,9,10
179,8,16,17
180,15,14,18
181,0,6,6
182,0,14,9
183,8,6,13
184,11,12,7
185,10,13,12
186,4,19,12
187,20,6,3
188,19,12,12
189,11,13,14
190,2,9,17
191,0,6,11
192,17,4,17
193,13,16,11
194,0,0,2
195,0,13,11
196,12,18,17
197,16,14,6
198,14,1,6
199,7,7,14
200,17,14,5
201,4,11,3
202,3,0,9
203,13,3,20
204,1,7,0
205,10,20,11
206,3,14,15
207,13,3,20
208,0,1,8
209,11,4,3
210,19,0,7
211,0,17,9
212,2,19,18
213,5,12,9
214,15,7,15
215,1,17,7
216,10,5,19
217,3,4,9
218,8,9,20
219,15,3,13
220,16,3,10
221,2,16,14
222,13,17,9
223,17,12,17
224,5,13,15
225,12,15,3
226,18,10,17
227,10,6,13
228,5,20,5
229,10,12,3
230,13,11,16
231,2,3,16
232,19,1,18
233,1,12,16
234,7,13,1
235,14,18,20
236,14,17,17
237,4,6,6
238,3,13,12
239,15,0,18
240,9,4,15
241,6,1,5
242,4,16,15
243,2,9,14
244,17,19,13
245,14,18,6
246,13,1,11
247,15,14,16
248,10,19,4
249,19,18,8
250,15,9,15
251,13,11,0
252,20,2,8
253,12,11,7
254,6,12,4
255,19,14,17
256,1,4,17
257,5,4,18
258,6,9,18
259,17,6,8
260,8,14,6
261,4,6,4
262,5,12,5
263,12,14,6
264,0,6,13
265,2,15,18
266,14,7,0
267,10,10,6
268,5,12,6
269,13,19,19
270,15,19,6
271,19,6,16
272,7,19,19
273,9,15,5
274,18,11,3
275,8,1,14
276,11,0,14
277,2,12,6
278,8,20,8
279,16,1,7
280,9,10,7
281,13,19,9
282,19,14,13
283,13,8,1
284,7,10,19
285,19,2,3
286,4,1,2
287,11,10,14
288,6,11,17
289,5,16,0
290,1,20,16
291,5,12,15
292,9,7,5
293,8,2,15
294,10,4,15
295,6,20,2
296,3,13,15
297,5,9,19
298,18,8,0
299,9,17,6
300,4,12,15
301,11,17,7
302,2,13,15
303,6,16,14
304,9,19,16
305,18,8,1
306,4,6,5
307,17,14,7
308,8,6,4
309,12,3,1
310,5,18,13
311,14,11,13
312,16,11,0
313,2,0,10
314,2,11,14
315,7,0,18
316,4,11,17
317,8,2,8
318,17,11,11
319,10,15,4
320,3,7,17
321,16,0,4
322,18,0,14
323,10,14,5
324,15,0,18
325,10,11,13
326,20,17,17
327,16,1,8
328,0,16,6
329,11,13,2
330,13,16,3
331,7,0,12
332,6,10,10
333,6,12,14
334,10,14,18
335,0,11,19
336,13,9,9
337,8,19,12
338,17,16,11
339,19,13,17
340,15,1,13
341,0,1,6
342,11,14,10
343,0,7,15
344,5,2,7
345,7,4,6
346,4,8,12
347,8,15,9
348,14,7,6
349,17,20,18
350,18,11,11
351,17,2,13
352,2,4,14
353,11,14,17
354,17,0,2
355,18,8,14
356,14,15,20
357,18,19,6
358,14,7,14
359,17,7,19
360,20,0,15
361,3,6,13
362,18,12,1
363,12,7,0
364,1,9,1
365,14,20,2
366,2,10,15
367,19,14,5
368,0,10,13
369,18,20,0
370,11,10,17
371,18,10,17
372,4,4,8
373,18,17,8
374,18,4,1
375,17,16,10
376,14,14,4
377,0,8,19
378,3,12,1
379,20,5,15
380,7,20,10
381,12,10,15
382,13,0,8
383,13,19,19
384,2,20,10
385,16,2,19
386,14,7,2
387,18,7,8
388,10,5,15
389,5,5,11
390,20,16,15
391,9,2,9
392,15,8,2
393,16,6,19
394,0,19,2
395,2,12,8
396,11,14,5
397,7,17,7
398,4,12,17
399,16,14,16
400,6,6,16
401,13,10,19
402,18,7,12
403,0,1,15
404,4,17,0
405,15,10,4
406,17,16,1
407,0,2,19
408,10,7,2
409,7,1,13
410,3,18,6
411,20,20,11
412,20,12,12
413,10,18,2
414,17,14,7
415,9,15,13
416,5,16,12
417,3,17,2
418,18,20,11
419,0,0,8
420,12,5,19
421,19,15,3
422,14,9,18
423,19,4,0
424,3,14,17
425,6,0,14
426,16,5,10
427,18,11,17
428,15,15,8
429,3,14,19
430,7,5,8
431,12,12,18
432,11,19,9
433,19,9,16
434,2,12,1
435,2,15,14
436,11,5,16
437,18,7,13
438,8,2,4
439,20,0,17
440,16,1,11
441,12,17,0
442,17,20,3
443,8,10,1
444,5,13,6
445,17,2,16
446,3,17,3
447,14,16,18
448,3,20,4
449,17,7,0
450,18,12,15
451,19,11,7
452,16,10,9
453,12,11,14
454,12,3,7
455,8,13,4
456,8,2,12
457,9,17,16
458,9,8,12
459,12,0,11
460,12,8,15
461,9,14,3
462,8,14,9
463,11,0,3
464,0,1,7
465,4,20,15
466,4,7,12
467,14,20,16
468,1,10,5
469,8,9,0
470,16,7,14
471,7,14,12
472,2,3,20
473,5,10,4
474,13,6,15
475,0,7,3
476,18,4,3
477,12,9,20
478,12,10,7
479,3,19,0
480,19,20,12
481,11,0,7
482,18,4,4
483,7,18,8
484,16,4,7
485,11,2,7
486,19,11,7
487,18,5,5
488,1,17,11
489,16,17,2
490,14,2,16
491,8,8,16
492,10,15,14
493,13,19,20
494,2,2,7
495,0,16,20
496,8,18,0
497,5,13,15
498,2,10,2
499,15,20,16
500,12,8,1
